File,Provider,Record,ID,UTC,Category,Reason,XML
application.evtx,Windows Error Reporting,885,1001,2026-09-15T17:54:52.0634830Z,응용 오류·WER,대상 이미지·오류 유형·ReportQueue 경로 확인. a.exe 또는 LSASS 덤프 성공 증거 미발견.,xml/application-885.xml
application.evtx,SceCli,886,1704,2026-09-15T17:55:00.8412071Z,응용·환경 일반,"Provider, EventData, UserData 및 Binary 존재 확인. 시나리오 실행·통신·덤프·이동 직접 증거 미발견.",xml/application-886.xml
application.evtx,ESENT,887,102,2026-09-15T17:56:50.8402406Z,응용·환경 일반,"Provider, EventData, UserData 및 Binary 존재 확인. 시나리오 실행·통신·덤프·이동 직접 증거 미발견.",xml/application-887.xml
application.evtx,ESENT,888,300,2026-09-15T17:56:50.8402406Z,응용·환경 일반,"Provider, EventData, UserData 및 Binary 존재 확인. 시나리오 실행·통신·덤프·이동 직접 증거 미발견.",xml/application-888.xml
application.evtx,ESENT,889,301,2026-09-15T17:56:50.8557118Z,응용·환경 일반,"Provider, EventData, UserData 및 Binary 존재 확인. 시나리오 실행·통신·덤프·이동 직접 증거 미발견.",xml/application-889.xml
application.evtx,ESENT,890,302,2026-09-15T17:56:50.8870996Z,응용·환경 일반,"Provider, EventData, UserData 및 Binary 존재 확인. 시나리오 실행·통신·덤프·이동 직접 증거 미발견.",xml/application-890.xml
application.evtx,ESENT,891,105,2026-09-15T17:56:50.8870996Z,응용·환경 일반,"Provider, EventData, UserData 및 Binary 존재 확인. 시나리오 실행·통신·덤프·이동 직접 증거 미발견.",xml/application-891.xml
application.evtx,ESENT,892,326,2026-09-15T17:56:50.9182248Z,응용·환경 일반,"Provider, EventData, UserData 및 Binary 존재 확인. 시나리오 실행·통신·덤프·이동 직접 증거 미발견.",xml/application-892.xml
application.evtx,MsiInstaller,893,1040,2026-09-15T17:59:04.1467587Z,설치 관리,제품·MSI 경로·설치 상태 확인. 설치 활동이며 공격 관련성 입증 없음.,xml/application-893.xml
application.evtx,Microsoft-Windows-RestartManager,894,10000,2026-09-15T17:59:16.7197847Z,프로세스 보조 관측,UserData의 FullPath·Pid·TSSessionId·상태 확인. 생성 시각·부모·명령줄 미제공.,xml/application-894.xml
application.evtx,Microsoft-Windows-RestartManager,895,10000,2026-09-15T17:59:17.0834036Z,프로세스 보조 관측,UserData의 FullPath·Pid·TSSessionId·상태 확인. 생성 시각·부모·명령줄 미제공.,xml/application-895.xml
application.evtx,MsiInstaller,896,11707,2026-09-15T17:59:18.9245104Z,설치 관리,제품·MSI 경로·설치 상태 확인. 설치 활동이며 공격 관련성 입증 없음.,xml/application-896.xml
application.evtx,MsiInstaller,897,1033,2026-09-15T17:59:18.9245104Z,설치 관리,제품·MSI 경로·설치 상태 확인. 설치 활동이며 공격 관련성 입증 없음.,xml/application-897.xml
application.evtx,MsiInstaller,898,1042,2026-09-15T17:59:18.9658162Z,설치 관리,제품·MSI 경로·설치 상태 확인. 설치 활동이며 공격 관련성 입증 없음.,xml/application-898.xml
application.evtx,MsiInstaller,899,1040,2026-09-15T17:59:19.0249007Z,설치 관리,제품·MSI 경로·설치 상태 확인. 설치 활동이며 공격 관련성 입증 없음.,xml/application-899.xml
application.evtx,Microsoft-Windows-RestartManager,900,10001,2026-09-15T17:59:18.9392805Z,프로세스 보조 관측,UserData의 FullPath·Pid·TSSessionId·상태 확인. 생성 시각·부모·명령줄 미제공.,xml/application-900.xml
application.evtx,Microsoft-Windows-RestartManager,901,10001,2026-09-15T17:59:18.9427678Z,프로세스 보조 관측,UserData의 FullPath·Pid·TSSessionId·상태 확인. 생성 시각·부모·명령줄 미제공.,xml/application-901.xml
application.evtx,Microsoft-Windows-RestartManager,902,10000,2026-09-15T17:59:19.1002953Z,프로세스 보조 관측,UserData의 FullPath·Pid·TSSessionId·상태 확인. 생성 시각·부모·명령줄 미제공.,xml/application-902.xml
application.evtx,Microsoft-Windows-RestartManager,903,10000,2026-09-15T17:59:19.4027309Z,프로세스 보조 관측,UserData의 FullPath·Pid·TSSessionId·상태 확인. 생성 시각·부모·명령줄 미제공.,xml/application-903.xml
application.evtx,MsiInstaller,904,11707,2026-09-15T17:59:20.6496354Z,설치 관리,제품·MSI 경로·설치 상태 확인. 설치 활동이며 공격 관련성 입증 없음.,xml/application-904.xml
application.evtx,MsiInstaller,905,1033,2026-09-15T17:59:20.6496354Z,설치 관리,제품·MSI 경로·설치 상태 확인. 설치 활동이며 공격 관련성 입증 없음.,xml/application-905.xml
application.evtx,MsiInstaller,906,1042,2026-09-15T17:59:20.6810419Z,설치 관리,제품·MSI 경로·설치 상태 확인. 설치 활동이며 공격 관련성 입증 없음.,xml/application-906.xml
application.evtx,Microsoft-Windows-RestartManager,907,10001,2026-09-15T17:59:20.6724164Z,프로세스 보조 관측,UserData의 FullPath·Pid·TSSessionId·상태 확인. 생성 시각·부모·명령줄 미제공.,xml/application-907.xml
